Train No,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,SU,M,TU,W,TH,F,SA,Class,Distance,Speed,Return
623,Tirunelveli - Chenna...,Prm,SR,11/Nov,11/Nov,TEN,18:15,MS,07:05,12h 50m,4,,,,W,,,,SL 3A 2A,650 km,50 km/hr,622
624,Thiruvananthapuram -...,Prm,SR,11/Nov,11/Nov,TVC,19:00,MAS,11:30,16h 30m,18,,,,W,,,,SL 3A 2A,917 km,55 km/hr,6105
625,Tirunelveli - Chenna...,Prm,SR,15/Nov,22/Nov,TEN,14:45,MS,04:20,13h 35m,13,S,,,,,,,SL 3A 2A,650 km,47 km/hr,
626,Ernakulam - Chennai ...,Prm,SR,15/Nov,22/Nov,ERS,23:30,MAS,09:30,10h 0m,5,S,,,,,,,SL 3A 2A,699 km,69 km/hr,
627,Chennai Egmore - Tir...,Prm,SR,20/Nov,20/Nov,MS,21:05,TEN,10:45,13h 40m,12,,,,,,F,,SL 3A 2A,650 km,47 km/hr,
839,Howrah - Chennai Cen...,ACSF,SER,03/Nov,24/Nov,HWH,12:40,MAS,14:50,26h 10m,10,,,T,,,,,3A 2A,1661 km,63 km/hr,2848
855,Villupuram Puducherr...,Exp,SR,,,VM,15:05,PDY,15:30,0h 25m,0,,,,,T,,,,38 km,90 km/hr,604
863,Howrah - Yesvantpur ...,ACSF,SER,13/Nov,20/Nov,HWH,12:40,YPR,23:15,34h 35m,12,,,,,,F,,3A 2A,1956 km,56 km/hr,
1003,Mumbai CST - Karmali...,Exp,CR,04/Nov,25/Nov,CSTM,00:20,KRMI,11:30,11h 10m,12,,,,W,,,,2S SL 3A 2A,552 km,49 km/hr,1004
1004,Karmali - Mumbai CST...,Exp,CR,04/Nov,25/Nov,KRMI,14:20,CSTM,01:20,11h 0m,12,,,,W,,,,2S SL 3A 2A,552 km,50 km/hr,1003
1017,Mumbai LTT - Nagpur ...,SF,CR,10/Oct,21/Nov,LTT,00:45,NGP,14:30,13h 45m,11,,,,,,,S,2S SL 3A 2A,816 km,59 km/hr,1018
1018,Nagpur - Mumbai LTT ...,SF,CR,10/Oct,21/Nov,NGP,16:00,LTT,06:00,14h 0m,11,,,,,,,S,2S SL 3A 2A,816 km,58 km/hr,1017
1035,Mumbai CST - Gaya Ta...,Exp,CR,12/Oct,23/Nov,CSTM,00:20,GAYA,09:00,32h 40m,15,,M,,,,,,2S,1702 km,52 km/hr,1036
1036,Gaya - Mumbai CST Sp...,Exp,CR,13/Oct,24/Nov,GAYA,15:00,CSTM,23:15,32h 15m,16,,,T,,,,,,1702 km,52 km/hr,1035
1081,Dadar - Bhusawal SF ...,SF,CR,13/Nov,27/Nov,DR,21:45,BSL,04:00,6h 15m,5,,,,,,F,,2S SL 3A 2A,432 km,69 km/hr,1082
1082,Bhusawal - Dadar SF ...,SF,CR,14/Nov,28/Nov,BSL,08:35,DR,16:20,7h 45m,5,,,,,,,S,2S SL 3A 2A,432 km,55 km/hr,1081
1121,Mumbai CST - Gaya Ta...,Exp,CR,16/Nov,16/Nov,CSTM,00:20,GAYA,09:00,32h 40m,15,,M,,,,,,2S,1702 km,52 km/hr,1122
1122,Gaya - Mumbai CST Sp...,Exp,CR,19/Nov,19/Nov,GAYA,15:00,CSTM,23:15,32h 15m,16,,,,,T,,,,1702 km,52 km/hr,1121
