Train No.,train Name,islno,station Code,Station Name,Arrival time,Departure time,Distance,Source Station Code,source Station Name,Destination station Code,Destination Station Name
'01081',DR BSL T F SPL ,1,DR  ,DADAR          ,'00:00:00','21:45:00',0,DR  ,DADAR          ,BSL ,BHUSAVAL JN    
'01081',DR BSL T F SPL ,2,TNA ,THANE          ,'22:03:00','22:05:00',25,DR  ,DADAR          ,BSL ,BHUSAVAL JN    
'01081',DR BSL T F SPL ,3,KYN ,KALYAN JN      ,'22:22:00','22:45:00',45,DR  ,DADAR          ,BSL ,BHUSAVAL JN    
'01081',DR BSL T F SPL ,4,IGP ,IGATPURI       ,'00:05:00','00:10:00',128,DR  ,DADAR          ,BSL ,BHUSAVAL JN    
'01081',DR BSL T F SPL ,5,NK  ,NASIK ROAD     ,'00:52:00','00:55:00',179,DR  ,DADAR          ,BSL ,BHUSAVAL JN    
'01081',DR BSL T F SPL ,6,CSN ,CHALISGAON JN  ,'02:30:00','02:32:00',319,DR  ,DADAR          ,BSL ,BHUSAVAL JN    
'01081',DR BSL T F SPL ,7,JL  ,JALGAON JN     ,'03:27:00','03:30:00',412,DR  ,DADAR          ,BSL ,BHUSAVAL JN    
'01081',DR BSL T F SPL ,8,BSL ,BHUSAVAL JN    ,'05:00:00','00:00:00',436,DR  ,DADAR          ,BSL ,BHUSAVAL JN    
'01082',BSL DR T F SPL ,1,BSL ,BHUSAVAL JN    ,'00:00:00','08:35:00',0,BSL ,BHUSAVAL JN    ,DR  ,DADAR          
'01082',BSL DR T F SPL ,2,JL  ,JALGAON JN     ,'09:00:00','09:03:00',25,BSL ,BHUSAVAL JN    ,DR  ,DADAR          
'01082',BSL DR T F SPL ,3,CSN ,CHALISGAON JN  ,'09:50:00','09:52:00',117,BSL ,BHUSAVAL JN    ,DR  ,DADAR          
'01082',BSL DR T F SPL ,4,NK  ,NASIK ROAD     ,'11:20:00','11:25:00',258,BSL ,BHUSAVAL JN    ,DR  ,DADAR          
'01082',BSL DR T F SPL ,5,IGP ,IGATPURI       ,'13:25:00','13:30:00',308,BSL ,BHUSAVAL JN    ,DR  ,DADAR          
'01082',BSL DR T F SPL ,6,KYN ,KALYAN JN      ,'15:10:00','15:13:00',391,BSL ,BHUSAVAL JN    ,DR  ,DADAR          
'01082',BSL DR T F SPL ,7,TNA ,THANE          ,'15:33:00','15:35:00',412,BSL ,BHUSAVAL JN    ,DR  ,DADAR          
'01082',BSL DR T F SPL ,8,DR  ,DADAR          ,'16:20:00','00:00:00',436,BSL ,BHUSAVAL JN    ,DR  ,DADAR          
'10111',KONKAN KANYA EX,1,CSTM,MUMBAI CST     ,'00:00:00','23:05:00',0,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,2,DR  ,DADAR          ,'23:18:00','23:20:00',9,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,3,TNA ,THANE          ,'23:43:00','23:45:00',34,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,4,DIVA,DIVA           ,'23:58:00','23:59:00',43,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,5,PNVL,PANVEL         ,'00:25:00','00:30:00',69,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,6,MNI ,MANGAON        ,'02:53:00','02:54:00',188,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,7,KHED,KHED           ,'04:01:00','04:02:00',284,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,8,CHI ,CHIPLUN        ,'04:39:00','04:40:00',325,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,9,SGR ,SANGMESHWAR    ,'05:33:00','05:34:00',384,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,10,RN  ,RATNAGIRI      ,'06:35:00','06:40:00',431,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,11,VID ,VILAVADE       ,'07:29:00','07:30:00',497,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,12,RAJP,RAJAPUR ROAD   ,'07:51:00','07:52:00',520,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,13,VBW ,VAIBHAVWADI RD ,'08:09:00','08:10:00',543,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,14,KKW ,KANKAVALI      ,'08:41:00','08:42:00',587,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10111',KONKAN KANYA EX,15,SNDD,SINDHUDURG     ,'09:05:00','09:06:00',612,CSTM,MUMBAI CST     ,MAO ,MADGAON        
